track_name,track_id,track_number,duration_ms,artists,album_type,total_tracks,album_name,release_date,label,album_popularity,album_id,artist_id,artist_0,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,artist_8,duration_sec
What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,1,199986,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,199.986
Gotta Be You,3jJ5NJ3aNWvV70Rd7hgZIH,2,244506,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,244.506
One Thing,5G2c6FsfTzgYUzageCmfXY,3,197600,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,197.6
More Than This,0UAB340gAcSMk3r0a8PTag,4,229106,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,229.106
Up All Night,1I93YiKgu2P5pwprWmziPI,5,194693,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,194.693
I Wish,5bODPM8nTwwTIE4W9fuUcC,6,216946,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,216.946
Tell Me A Lie,6N5ruusDFjQPYvCka8ejwP,7,198053,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,198.053
Taken,4K0M12PIWJjA4H0NAP142y,8,237706,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,237.706
I Want,5MIMD5WMooNWe8QsMqCrE8,9,173586,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,173.586
Everything About You,2EpTKW1O5Zmok99BzQOi9D,10,217453,['One Direction'],album,18,Up All Night,2012-05-25,Syco Music UK,80,6cunQQ7YZisYOoiFu2ywIq,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,,,,,,,,,217.453
