id,name,artist_popularity,artist_genres,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,84,"['boy band', 'pop', 'post-teen pop', 'talent show']",35837153,boy band,pop,post-teen pop,talent show,,,,
6KImCVD70vtIoJWnq6nGn3,Harry Styles,84,['pop'],32774246,pop,,,,,,,
6w60ExNMjs0gd4ioh7GMRI,BLP KOSHER,59,[],208183,,,,,,,,
7m0BsF0t3K9WQFgKoPejfk,ArrDee,63,['uk hip hop'],967200,uk hip hop,,,,,,,
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,74,['pop'],9920240,pop,,,,,,,
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,85,"['piano rock', 'pop']",17314633,piano rock,pop,,,,,,
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,75,"['boy band', 'pop']",10021530,boy band,pop,,,,,,
4988ULVP4X7nco6pLh1PA2,Cimorelli,41,['viral pop'],327303,viral pop,,,,,,,
7kwEvDE8e7EBGKh5bLczqQ,Anthem Lights,51,"['channel pop', 'viral pop']",430206,channel pop,viral pop,,,,,,
1Dfl8Q32toLap2O6lggdjQ,60000isk,19,[],400,,,,,,,,
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,74,"['boy band', 'pop']",7656691,boy band,pop,,,,,,
3vTJ5vBUIyzRORF9fxVCIW,Lucy Paz,10,[],25,,,,,,,,
3XKtycltpy1gaeny0Bdzcs,Rhett and Link,39,['antiviral pop'],120377,antiviral pop,,,,,,,
648dUUIlz7RSeg3O8CbTat,Midnite String Quartet,49,['bow pop'],51804,bow pop,,,,,,,
6jJ0s89eD6GaHleKKya26X,Katy Perry,85,['pop'],34026628,pop,,,,,,,
42QKiNCqr36B0gfgETuA9t,Tiny Tracks,26,['lullaby'],2795,lullaby,,,,,,,
7iI9Ea915C1T4GqG9vrFiD,Erez Cohen,3,[],74,,,,,,,,
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,89,"['canadian pop', 'pop']",76287946,canadian pop,pop,,,,,,
0rwGV1HhNWK2Ta4rjmlmtp,Junior Caldera,44,['trap venezolano'],41333,trap venezolano,,,,,,,
3mGCLimuzOdod4Lnegny4d,Twinkle Twinkle Little Rock Star,54,['sleep'],62918,sleep,,,,,,,
3YcYQvh90LabrI6cVQBoG4,Acoustic Heartstrings,44,[],18139,,,,,,,,
364ovD0MRp9ezaNTkRoLeA,Gavin Mikhail,39,"['piano rock', 'viral pop']",90952,piano rock,viral pop,,,,,,
5N8fU1gMvMFLKCUGjkI6Hb,Carl Runefelt,16,[],774,,,,,,,,
64KEffDW9EtZ1y2vBYgq8T,Marshmello,83,"['brostep', 'edm', 'pop', 'progressive electro house']",33733693,brostep,edm,pop,progressive electro house,,,,
7HBA3bLuJTLRvjK8NX9ZSy,Sweet Little Band,55,['musica para ninos'],69620,musica para ninos,,,,,,,
5HvzmTdDHTsVFKtxA12ibI,Lullaby Rock!,34,['lullaby'],1934,lullaby,,,,,,,
0sOfFTIMocxq5mPB8SFLHn,Piano Project,32,['piano cover'],6881,piano cover,,,,,,,
39PgoLIR1mXfy0AktyYumn,Texada,20,[],2373,,,,,,,,
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,76,"['pop', 'uk pop']",23145532,pop,uk pop,,,,,,
28H44XIsMg5EaFBxPbYpnQ,Righturn,6,[],1330,,,,,,,,
7EQ0qTo7fWT7DPxmxtSYEc,Bastille,74,"['metropopolis', 'modern rock', 'pop']",5550007,metropopolis,modern rock,pop,,,,,
1nlBFF8Gltvlw1Inky7XHX,Uncharted Shores,1,[],455,,,,,,,,
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,68,"['girl group', 'pop', 'talent show']",16214764,girl group,pop,talent show,,,,,
5GHD1fIQw1MHitSnzLeP3W,Danny Dean,17,[],66,,,,,,,,
53N442cKc5lNYCauf5jHD4,Franko,43,[],5909,,,,,,,,
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,71,"['modern alternative rock', 'modern rock', 'stomp pop']",3020447,modern alternative rock,modern rock,stomp pop,,,,,
2eu3XrPUVsIobIJlH0leny,Samuel Zechin,0,[],247,,,,,,,,
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,82,"['canadian pop', 'pop', 'viral pop']",43032784,canadian pop,pop,viral pop,,,,,
3KbNt2zAQzIoDV5zizBlAv,Aonee,0,[],1,,,,,,,,
7LHVl4mPmTVhpwWkhPwmku,Begging Blind,0,[],44,,,,,,,,
14AykuJi7Nkktbz6hAzzBc,J Heems,11,[],78,,,,,,,,
2dJGQoWkPECe8M7RMb5sBD,Squad,8,[],418,,,,,,,,
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,76,"['pop', 'post-teen pop']",26676283,pop,post-teen pop,,,,,,
4ykT0z2VYMH0yh9NoVfzEo,Klode Chill,36,[],1324,,,,,,,,
07QEuhtrNmmZ0zEcqE9SF6,Owl City,68,"['indietronica', 'pop']",2387664,indietronica,pop,,,,,,
0LyfQWJT6nXafLPZqxe9Of,Various Artists,0,[],2486532,,,,,,,,
0KnFozQokU6EtpRGgPrLaX,ProdByWalkz,20,"['anime drill', 'uk drill']",8293,anime drill,uk drill,,,,,,
4on53ORBym2GEnRhIptZwy,Da Les,37,"['kasi rap', 'south african hip hop', 'south african trap']",67948,kasi rap,south african hip hop,south african trap,,,,,
0H2QF2FsvaoetjT94dFn0z,Lana Medicine,0,[],10,,,,,,,,
45dkTj5sMRSjrmBSBeiHym,Tate McRae,82,['pop'],5667868,pop,,,,,,,
4TYgLoy7SFHcT01h68gNng,Kikyoo,0,[],0,,,,,,,,
246dkjvS1zLTtiykXe5h60,Post Malone,91,"['dfw rap', 'melodic rap', 'pop', 'rap']",44758402,dfw rap,melodic rap,pop,rap,,,,
71nBJlfxM4yxv0XCC0jjXI,NeoTwins,0,[],1,,,,,,,,
1Ok1VzmUGt4E1DDNol44GH,Lemonade Mouth,0,[],47291,,,,,,,,
1KYszkVzlhV3rAqmAcYIgd,Victorious Cast,58,['post-teen pop'],2029177,post-teen pop,,,,,,,
6RG7dWL2KEAA68dAV11yrD,Mafalda Creative,11,[],4419,,,,,,,,
0yP2fHI9g6iIwpj2EPNT82,Quantum Wizard,0,[],24,,,,,,,,
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,80,"['pop', 'viral pop']",23038785,pop,viral pop,,,,,,
12jchn2m3OtBqSECq2D2nh,Nol.Doe,9,[],2149,,,,,,,,
0GWCNkPi54upO9WLlwjAHd,Big Time Rush,63,"['boy band', 'pop', 'post-teen pop']",2640079,boy band,pop,post-teen pop,,,,,
6xPygbHVDK8zs3fsZDD1r9,Hbdap,0,[],22,,,,,,,,
4VhL8KLjVso4vLfOLVViTb,Bridgit Mendler,60,"['pop', 'post-teen pop']",1327933,pop,post-teen pop,,,,,,
67dmQgIK9o6VMYRpUSMHx8,Elaijah,0,[],88,,,,,,,,
5Dx4bvCuqjFyztRUYn82C5,Loose Passenger Seat,2,[],201,,,,,,,,
4iQHkms1GjFd7pjSHqs68B,Cast Of 'Camp Rock 2',0,[],53600,,,,,,,,
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87,['pop'],38303134,pop,,,,,,,
2gUMs9PE8XZVQyzCDqaYmW,High School Musical Cast,62,"['movie tunes', 'post-teen pop']",1402583,movie tunes,post-teen pop,,,,,,
2jeaDjgdXnEnbLYgwbzTFb,Terry Kingsley,0,[],2014,,,,,,,,
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,81,"['pop', 'post-teen pop']",50638236,pop,post-teen pop,,,,,,
7g2JLH7LgekNTTrICBebrY,Darling Dave,0,[],1,,,,,,,,
7wbnKaU2yOAKkBdXED432f,Axel Stephenson,40,"['belgian dance', 'old school hard trance']",776,belgian dance,old school hard trance,,,,,,
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,70,"['contemporary country', 'country', 'country road']",3178641,contemporary country,country,country road,,,,,
4g40XqHPFas1kRFojIvM6j,Wild Ride,0,[],88,,,,,,,,
7iqGNIAJsAtAqIERgdqAYy,Songfinch,27,[],6163,,,,,,,,
4bHqIHNtic2x8l7hAv8mJT,Map Of My Mind,47,[],77,,,,,,,,
1sRPs3oqS2QCtA5zu56K6U,You & I,6,[],252,,,,,,,,
7nU4hB040gTmHm45YYMvqc,Hannah Montana,62,"['pop', 'post-teen pop']",4768266,pop,post-teen pop,,,,,,
2qFOYqFxPaIwEnffVhJhEn,The Dip,59,['retro soul'],164207,retro soul,,,,,,,
6JV9OrfLS1nkVkAYl0naok,Nello Taver,41,['italian hip hop'],67184,italian hip hop,,,,,,,
6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,67,['pop'],9896382,pop,,,,,,,
3tRO4frDbsgRK8JJe1nJ0n,Magic Squad,2,[],138,,,,,,,,
5Jb1MWUJYwgWWA2C1Tre6t,DJ Money Gloves,0,[],11,,,,,,,,
