danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,audio_features,4cluDES4hQEUhmXj6TXkSo,spotify:track:4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,199987,4
0.495,0.583,8,-4.531,1,0.0249,0.374,0.0,0.0781,0.603,84.969,audio_features,3jJ5NJ3aNWvV70Rd7hgZIH,spotify:track:3jJ5NJ3aNWvV70Rd7hgZIH,https://api.spotify.com/v1/tracks/3jJ5NJ3aNWvV70Rd7hgZIH,https://api.spotify.com/v1/audio-analysis/3jJ5NJ3aNWvV70Rd7hgZIH,244507,4
0.713,0.718,2,-3.806,1,0.0278,0.00233,0.0,0.0838,0.656,126.999,audio_features,5G2c6FsfTzgYUzageCmfXY,spotify:track:5G2c6FsfTzgYUzageCmfXY,https://api.spotify.com/v1/tracks/5G2c6FsfTzgYUzageCmfXY,https://api.spotify.com/v1/audio-analysis/5G2c6FsfTzgYUzageCmfXY,197600,4
0.498,0.715,0,-4.446,1,0.0315,0.0607,0.0,0.274,0.225,151.809,audio_features,0UAB340gAcSMk3r0a8PTag,spotify:track:0UAB340gAcSMk3r0a8PTag,https://api.spotify.com/v1/tracks/0UAB340gAcSMk3r0a8PTag,https://api.spotify.com/v1/audio-analysis/0UAB340gAcSMk3r0a8PTag,229107,4
0.606,0.929,0,-2.182,1,0.055,0.023,0.0,0.101,0.622,139.022,audio_features,1I93YiKgu2P5pwprWmziPI,spotify:track:1I93YiKgu2P5pwprWmziPI,https://api.spotify.com/v1/tracks/1I93YiKgu2P5pwprWmziPI,https://api.spotify.com/v1/audio-analysis/1I93YiKgu2P5pwprWmziPI,194693,4
0.62,0.872,7,-3.123,1,0.0347,0.00914,0.0,0.111,0.299,124.044,audio_features,5bODPM8nTwwTIE4W9fuUcC,spotify:track:5bODPM8nTwwTIE4W9fuUcC,https://api.spotify.com/v1/tracks/5bODPM8nTwwTIE4W9fuUcC,https://api.spotify.com/v1/audio-analysis/5bODPM8nTwwTIE4W9fuUcC,216947,4
0.561,0.898,7,-4.722,1,0.056,0.000165,1.86e-05,0.327,0.638,133.965,audio_features,6N5ruusDFjQPYvCka8ejwP,spotify:track:6N5ruusDFjQPYvCka8ejwP,https://api.spotify.com/v1/tracks/6N5ruusDFjQPYvCka8ejwP,https://api.spotify.com/v1/audio-analysis/6N5ruusDFjQPYvCka8ejwP,198053,4
0.507,0.868,2,-5.204,1,0.0305,0.00387,0.0,0.413,0.684,95.035,audio_features,4K0M12PIWJjA4H0NAP142y,spotify:track:4K0M12PIWJjA4H0NAP142y,https://api.spotify.com/v1/tracks/4K0M12PIWJjA4H0NAP142y,https://api.spotify.com/v1/audio-analysis/4K0M12PIWJjA4H0NAP142y,237707,4
0.674,0.814,7,-2.814,1,0.0391,0.0182,0.0,0.079,0.491,128.092,audio_features,5MIMD5WMooNWe8QsMqCrE8,spotify:track:5MIMD5WMooNWe8QsMqCrE8,https://api.spotify.com/v1/tracks/5MIMD5WMooNWe8QsMqCrE8,https://api.spotify.com/v1/audio-analysis/5MIMD5WMooNWe8QsMqCrE8,173587,4
0.644,0.799,7,-3.575,1,0.0366,0.0136,0.0,0.0811,0.79,130.051,audio_features,2EpTKW1O5Zmok99BzQOi9D,spotify:track:2EpTKW1O5Zmok99BzQOi9D,https://api.spotify.com/v1/tracks/2EpTKW1O5Zmok99BzQOi9D,https://api.spotify.com/v1/audio-analysis/2EpTKW1O5Zmok99BzQOi9D,217453,4
